1,2,8,2,9,10,1,8,9,10,6
0,0,0,0,0,0,0,0,0,0,1
2,2,3,4,10,4,3,8,8,10,6
0,0,0,0,0,0,0,0,0,0,1
7,6,3,5,5,6,7,3,9,9,6
0,0,0,0,0,0,0,0,0,0,1
6,2,5,4,5,6,8,8,2,4,3
2,2,4,4,5,6,8,8,6,5,3
0,0,0,0,0,0,0,0,0,0,1
1,8,9,1,10,7,7,8,9,10,6
0,0,0,0,0,0,0,0,0,0,1
3,5,3,4,5,6,4,6,10,10,6
0,0,0,0,0,0,0,0,0,0,1
6,2,3,3,2,6,7,7,9,9,3
2,2,3,9,3,6,7,7,9,6,3
0,0,0,0,0,0,0,0,0,0,1
1,5,1,4,5,7,7,8,4,8,6
0,0,0,0,0,0,0,0,0,0,1
1,2,2,10,1,6,9,6,9,10,6
0,0,0,0,0,0,0,0,0,0,1
1,2,3,4,5,1,2,4,3,5,6
0,0,0,0,0,0,0,0,0,0,1
8,9,3,7,5,5,7,8,9,3,3
9,7,3,8,5,3,7,8,9,5,3
0,0,0,0,0,0,0,0,0,0,1
10,2,6,4,4,6,2,9,9,10,6
0,0,0,0,0,0,0,0,0,0,1
5,3,3,10,5,8,7,8,7,10,6
0,0,0,0,0,0,0,0,0,0,1
1,5,4,4,5,6,8,8,6,1,6
0,0,0,0,0,0,0,0,0,0,1
1,2,3,1,2,9,7,7,9,3,3
1,2,3,1,7,3,7,2,9,9,3
0,0,0,0,0,0,0,0,0,0,1
1,4,7,4,6,6,7,1,10,10,6
